00001,77061104,7QGJk3dk#,상병,문채윤,2020-09-11,010-8574-1585,1999-04-05,Warrior
00002,77061105,eIAZJrJs!,병장,윤용호,2020-09-11,010-5800-6776,1998-02-13,Warrior
00003,77061106,SPfXv9nZ%,상병,유병재,2020-08-11,010-8261-5114,1997-04-13,Warrior
00004,77061107,4ItaHgUR%,상병,김명근,2020-10-11,010-2408-0015,1999-07-11,Warrior
00005,77061108,ypPAIoFR!,상병,김시열,2020-09-11,010-5670-4102,1997-08-21,Warrior
00006,77061109,D5GoaOnZ@,상병,김영범,2020-01-28,010-2070-0402,1999-04-07,Warrior
00007,77061110,CV4Ybuew%,상병,송진규,2020-03-17,010-4311-7551,1997-01-23,Warrior
00008,77260011,1zrqGgwP$,병장,전석우,2020-02-07,010-5541-4481,2000-05-24,Warrior
00009,77260012,jTipCcyH@,이병,강솜수,2019-04-15,010-1051-9800,1994-01-27,Warrior
00010,77260013,tGTP92e6@,병장,남용윤,2019-03-09,010-5780-9222,1996-11-24,Warrior
00011,77260014,h2SZ09ZQ%,병장,주연경,2021-04-04,010-1940-8727,1994-11-05,Warrior
00012,77260015,7CXSOtJA@,일병,복경영,2020-10-24,010-5041-9319,1995-03-14,Warrior
00013,77260016,LS1JsgLz%,이병,신현용,2019-03-12,010-5468-0196,1999-05-23,Warrior
00014,77260017,pX9DUjZ0!,이병,안다훈,2019-03-21,010-7629-3212,1999-05-26,Warrior
00015,77260018,FUe4fnMa$,병장,라현윤,2019-05-28,010-3289-6507,1994-02-18,Warrior
00016,77260019,kW1uvGh4@,상병,신환소,2020-01-28,010-8506-2815,1997-12-11,Warrior
00017,77260020,2M7flfhL!,상병,유하정,2021-12-07,010-3849-3464,1997-05-20,Warrior
00018,77260021,xmjBFN1G%,상병,석하용,2019-10-07,010-4666-3068,1994-05-05,Warrior
00019,77260022,LrLl4Wts#,병장,최영정,2021-07-22,010-4080-6289,1997-10-09,Warrior
00020,77260023,F68Z5ZRH#,병장,배문현,2020-12-15,010-0694-9329,2000-12-08,Warrior
00021,77260024,02kYxiAc!,이병,엄주훈,2021-09-05,010-9299-6684,2000-06-12,Warrior
00022,77260025,YOHo1JFl#,병장,차용소,2019-09-16,010-2383-1844,1999-09-26,Warrior
00023,77260026,QJ76TO0X$,이병,신정솜,2021-07-05,010-3295-5647,1995-05-14,Warrior
00024,77260027,49848bAO!,병장,경윤윤,2021-08-24,010-2127-9812,1998-08-26,Warrior
00025,77260028,McYAwKUS#,병장,도연경,2021-04-12,010-6709-9856,1997-08-23,Warrior
00026,77260029,5ATw479E!,상병,구정종,2020-02-06,010-1220-4447,2000-04-19,Warrior
00027,77260030,hxFb53sS!,이병,성솜식,2021-05-13,010-9470-8039,1999-09-19,Warrior
00028,77260031,yCghAyeA$,일병,진성범,2020-11-08,010-7605-8795,1996-01-08,Warrior
00029,77260032,ZPgLyfwB!,병장,유하소,2019-11-25,010-9388-7513,1998-12-05,Warrior
00030,77260033,EeyZRISG@,일병,백영주,2019-01-02,010-7736-4783,1999-12-16,Warrior
00031,77260034,0ZBLHR2I!,일병,송윤감,2019-12-22,010-9126-6022,1996-01-23,Warrior
00032,77260035,T2IYkFCc@,이병,반기식,2020-10-06,010-4001-3296,1999-05-23,Warrior
00033,77260036,PHaeAh9d$,이병,석주하,2019-10-24,010-7513-9508,1997-11-12,Warrior
00034,77260037,L51dW8pU!,일병,염연영,2021-09-02,010-1584-7723,1998-01-24,Warrior
00035,77260038,dqqoT1yl%,이병,도정솜,2021-01-27,010-9126-6985,1996-09-13,Warrior
00036,77260039,phOzSfso$,일병,임주기,2021-12-23,010-8584-9129,1997-10-21,Warrior
00037,77260040,KnbBsZ2c%,일병,형식영,2020-12-19,010-9222-3197,1997-03-16,Warrior
00038,77260041,v3kG6S60#,일병,장정경,2021-08-23,010-8208-3856,1999-09-19,Warrior
00039,77260042,q6JOl0Go%,상병,감다호,2020-09-27,010-3879-6994,1997-02-17,Warrior
00040,77260043,foxehi5q%,병장,금민채,2020-01-16,010-9970-8137,1995-08-10,Warrior
00041,77260044,xyhGb38X!,병장,유식채,2019-11-27,010-1816-8633,1998-02-16,Warrior
